scenario_id,gpu,model,input_length,output_length,batch_size,use_case,description
43,L40S,LLaMA_3_8B,611,386,1,medium_doc,L40S에서 LLaMA_3_8B 모델로 medium_doc 시나리오
44,L40S,LLaMA_3_8B,3471,763,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
45,L40S,LLaMA_3_8B,2964,702,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
46,L40S,LLaMA_3_8B,3744,954,2,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
47,L40S,LLaMA_3_70B,2824,565,1,long_analysis,L40S에서 LLaMA_3_70B 모델로 long_analysis 시나리오
48,L40S,LLaMA_3_70B,322,134,4,short_chat,L40S에서 LLaMA_3_70B 모델로 short_chat 시나리오
49,L40S,LLaMA_3_8B,1596,341,1,medium_doc,L40S에서 LLaMA_3_8B 모델로 medium_doc 시나리오
50,L40S,LLaMA_3_8B,1486,436,2,medium_doc,L40S에서 LLaMA_3_8B 모델로 medium_doc 시나리오
51,L40S,LLaMA_3_70B,3049,729,1,long_analysis,L40S에서 LLaMA_3_70B 모델로 long_analysis 시나리오
52,L40S,LLaMA_3_8B,1329,495,2,medium_doc,L40S에서 LLaMA_3_8B 모델로 medium_doc 시나리오
53,L40S,LLaMA_3_8B,529,149,1,code_gen,L40S에서 LLaMA_3_8B 모델로 code_gen 시나리오
54,L40S,LLaMA_3_8B,3520,795,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
55,L40S,LLaMA_3_8B,3217,680,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
56,L40S,LLaMA_3_70B,809,398,1,medium_doc,L40S에서 LLaMA_3_70B 모델로 medium_doc 시나리오
57,L40S,LLaMA_3_70B,309,162,1,short_chat,L40S에서 LLaMA_3_70B 모델로 short_chat 시나리오
58,L40S,LLaMA_3_8B,251,512,2,code_gen,L40S에서 LLaMA_3_8B 모델로 code_gen 시나리오
59,L40S,LLaMA_3_70B,415,178,1,short_chat,L40S에서 LLaMA_3_70B 모델로 short_chat 시나리오
60,L40S,LLaMA_3_8B,1176,471,1,medium_doc,L40S에서 LLaMA_3_8B 모델로 medium_doc 시나리오
61,A100,LLaMA_3_70B,1131,212,1,medium_doc,A100에서 LLaMA_3_70B 모델로 medium_doc 시나리오
62,A100,LLaMA_3_8B,609,214,1,medium_doc,A100에서 LLaMA_3_8B 모델로 medium_doc 시나리오
63,A100,LLaMA_3_70B,1904,467,1,medium_doc,A100에서 LLaMA_3_70B 모델로 medium_doc 시나리오
64,A100,LLaMA_3_70B,722,730,1,code_gen,A100에서 LLaMA_3_70B 모델로 code_gen 시나리오
65,A100,LLaMA_3_8B,1523,301,1,medium_doc,A100에서 LLaMA_3_8B 모델로 medium_doc 시나리오
66,A100,LLaMA_3_8B,2596,614,2,long_analysis,A100에서 LLaMA_3_8B 모델로 long_analysis 시나리오
67,A100,LLaMA_3_8B,2359,525,1,long_analysis,A100에서 LLaMA_3_8B 모델로 long_analysis 시나리오
68,A100,LLaMA_3_70B,360,172,1,short_chat,A100에서 LLaMA_3_70B 모델로 short_chat 시나리오
69,A100,LLaMA_3_70B,2071,887,1,long_analysis,A100에서 LLaMA_3_70B 모델로 long_analysis 시나리오
70,A100,LLaMA_3_8B,2760,798,1,long_analysis,A100에서 LLaMA_3_8B 모델로 long_analysis 시나리오
71,A100,LLaMA_3_70B,1083,380,1,medium_doc,A100에서 LLaMA_3_70B 모델로 medium_doc 시나리오
72,A100,LLaMA_3_8B,2354,834,1,long_analysis,A100에서 LLaMA_3_8B 모델로 long_analysis 시나리오
73,A100,LLaMA_3_8B,1059,258,1,medium_doc,A100에서 LLaMA_3_8B 모델로 medium_doc 시나리오
74,A100,LLaMA_3_70B,908,399,1,code_gen,A100에서 LLaMA_3_70B 모델로 code_gen 시나리오
75,A100,LLaMA_3_8B,857,395,1,medium_doc,A100에서 LLaMA_3_8B 모델로 medium_doc 시나리오
76,A100,LLaMA_3_70B,2810,513,1,long_analysis,A100에서 LLaMA_3_70B 모델로 long_analysis 시나리오
77,A100,LLaMA_3_70B,1623,232,1,medium_doc,A100에서 LLaMA_3_70B 모델로 medium_doc 시나리오
78,A100,LLaMA_3_8B,1817,341,2,medium_doc,A100에서 LLaMA_3_8B 모델로 medium_doc 시나리오
79,A100,LLaMA_3_70B,566,375,1,medium_doc,A100에서 LLaMA_3_70B 모델로 medium_doc 시나리오
80,A100,LLaMA_3_70B,345,265,1,code_gen,A100에서 LLaMA_3_70B 모델로 code_gen 시나리오
81,A100-SXM4-80GB,LLaMA_3_70B,346,113,2,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
82,A100-SXM4-80GB,LLaMA_3_70B,813,353,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
83,A100-SXM4-80GB,LLaMA_3_70B,209,146,1,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
84,A100-SXM4-80GB,LLaMA_3_70B,620,323,1,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
85,A100-SXM4-80GB,LLaMA_3_70B,104,169,2,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
86,A100-SXM4-80GB,LLaMA_3_70B,196,198,2,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
87,A100-SXM4-80GB,LLaMA_3_70B,399,719,1,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
88,A100-SXM4-80GB,LLaMA_3_70B,448,543,2,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
89,A100-SXM4-80GB,LLaMA_3_70B,326,337,1,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
90,A100-SXM4-80GB,LLaMA_3_70B,1655,431,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
91,A100-SXM4-80GB,LLaMA_3_70B,1934,479,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
92,A100-SXM4-80GB,LLaMA_3_70B,1583,408,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
93,A100-SXM4-80GB,LLaMA_3_70B,3642,762,1,long_analysis,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 long_analysis 시나리오
94,A100-SXM4-80GB,LLaMA_3_70B,623,155,1,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
95,A100-SXM4-80GB,LLaMA_3_70B,661,120,1,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
96,A100-SXM4-80GB,LLaMA_3_70B,763,282,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
97,A100-SXM4-80GB,LLaMA_3_70B,770,463,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
98,A100-SXM4-80GB,LLaMA_3_70B,374,126,1,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
99,A100-SXM4-80GB,LLaMA_3_70B,3675,575,1,long_analysis,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 long_analysis 시나리오
100,A100-SXM4-80GB,LLaMA_3_70B,112,62,2,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
