scenario_id,gpu,model,input_length,output_length,batch_size,use_case,description
28,A100,LLaMA_3.1_8B,1350,350,1,medium_doc,A100에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
29,T4,LLaMA_3.2_1B,2539,705,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
30,T4,LLaMA_3.2_1B,3713,715,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
31,L4,LLaMA_3_8B,2256,581,1,long_analysis,L4에서 LLaMA_3_8B 모델로 long_analysis 시나리오
32,T4,LLaMA_3.2_1B,247,198,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
33,L40S,LLaMA_3.1_8B,2742,630,1,long_analysis,L40S에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
34,L4,LLaMA_3.2_1B,507,552,1,code_gen,L4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
35,A10G,LLaMA_3.1_8B,257,586,1,code_gen,A10G에서 LLaMA_3.1_8B 모델로 code_gen 시나리오
36,L4,LLaMA_3.1_8B,3317,996,1,long_analysis,L4에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
37,L4,LLaMA_3.1_8B,2650,844,1,long_analysis,L4에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
38,T4,LLaMA_3.2_1B,899,151,2,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
39,L4,LLaMA_3.2_1B,797,487,1,medium_doc,L4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
40,L40S,LLaMA_3_8B,747,131,2,code_gen,L40S에서 LLaMA_3_8B 모델로 code_gen 시나리오
41,A100,LLaMA_3_8B,565,502,1,code_gen,A100에서 LLaMA_3_8B 모델로 code_gen 시나리오
42,T4,LLaMA_3.2_1B,1789,374,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
43,A100-SXM4-80GB,LLaMA_3_70B,593,255,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
44,A100-SXM4-80GB,LLaMA_3_70B,3130,884,1,long_analysis,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 long_analysis 시나리오
45,A100,LLaMA_3_8B,711,460,4,code_gen,A100에서 LLaMA_3_8B 모델로 code_gen 시나리오
46,L4,LLaMA_3.2_1B,1804,375,2,medium_doc,L4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
47,A100-SXM4-80GB,LLaMA_3_70B,661,592,1,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
48,T4,LLaMA_3.2_1B,1929,497,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
49,A100-SXM4-80GB,LLaMA_3_70B,2232,802,1,long_analysis,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 long_analysis 시나리오
50,L40S,LLaMA_3_70B,1410,367,1,medium_doc,L40S에서 LLaMA_3_70B 모델로 medium_doc 시나리오
51,A100-SXM4-80GB,LLaMA_3.1_8B,181,101,1,short_chat,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 short_chat 시나리오
52,A100-SXM4-80GB,LLaMA_3_70B,535,266,2,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
53,L40S,LLaMA_3_70B,200,67,1,short_chat,L40S에서 LLaMA_3_70B 모델로 short_chat 시나리오
54,A100-SXM4-80GB,LLaMA_3_70B,550,797,2,code_gen,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 code_gen 시나리오
55,A10G,LLaMA_3.2_1B,2010,352,1,medium_doc,A10G에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
56,T4,LLaMA_3.2_1B,2066,1000,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
57,A10G,LLaMA_3.1_8B,3964,705,1,long_analysis,A10G에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
58,L40S,LLaMA_3_70B,1433,456,1,medium_doc,L40S에서 LLaMA_3_70B 모델로 medium_doc 시나리오
59,A100,LLaMA_3_8B,379,700,4,code_gen,A100에서 LLaMA_3_8B 모델로 code_gen 시나리오
60,A100,LLaMA_3.1_8B,3820,924,1,long_analysis,A100에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
61,L4,LLaMA_3.2_1B,286,148,1,code_gen,L4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
62,T4,LLaMA_3.2_1B,1866,363,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
63,L40S,LLaMA_3_70B,525,422,1,code_gen,L40S에서 LLaMA_3_70B 모델로 code_gen 시나리오
64,L40S,LLaMA_3_8B,1121,473,1,medium_doc,L40S에서 LLaMA_3_8B 모델로 medium_doc 시나리오
65,L40S,LLaMA_3_8B,3291,999,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
66,L4,LLaMA_3.2_1B,1123,374,1,medium_doc,L4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
67,L40S,LLaMA_3_8B,365,170,1,code_gen,L40S에서 LLaMA_3_8B 모델로 code_gen 시나리오
68,A100,LLaMA_3_70B,3658,520,1,long_analysis,A100에서 LLaMA_3_70B 모델로 long_analysis 시나리오
69,A10G,LLaMA_3_8B,253,183,1,code_gen,A10G에서 LLaMA_3_8B 모델로 code_gen 시나리오
70,A100,LLaMA_3_8B,1541,444,1,medium_doc,A100에서 LLaMA_3_8B 모델로 medium_doc 시나리오
71,T4,LLaMA_3.2_1B,711,443,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
72,A100-SXM4-80GB,LLaMA_3.1_8B,490,417,2,code_gen,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 code_gen 시나리오
73,A10G,LLaMA_3.1_8B,2006,389,1,medium_doc,A10G에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
74,L40S,LLaMA_3_70B,1633,417,1,medium_doc,L40S에서 LLaMA_3_70B 모델로 medium_doc 시나리오
75,A10G,LLaMA_3.1_8B,426,750,2,code_gen,A10G에서 LLaMA_3.1_8B 모델로 code_gen 시나리오
76,T4,LLaMA_3.2_1B,1136,417,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
77,A100-SXM4-80GB,LLaMA_3.1_8B,2937,861,1,long_analysis,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
78,L40S,LLaMA_3.1_8B,3824,909,2,long_analysis,L40S에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
79,A100,LLaMA_3_8B,156,71,4,short_chat,A100에서 LLaMA_3_8B 모델로 short_chat 시나리오
80,A100-SXM4-80GB,LLaMA_3.1_8B,301,187,1,short_chat,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 short_chat 시나리오
81,A100,LLaMA_3_8B,763,572,1,code_gen,A100에서 LLaMA_3_8B 모델로 code_gen 시나리오
82,L4,LLaMA_3.2_1B,454,142,1,code_gen,L4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
83,A100-SXM4-80GB,LLaMA_3_70B,496,59,2,short_chat,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 short_chat 시나리오
84,L40S,LLaMA_3.1_8B,1026,276,1,medium_doc,L40S에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
85,A100,LLaMA_3_70B,388,640,1,code_gen,A100에서 LLaMA_3_70B 모델로 code_gen 시나리오
86,A100,LLaMA_3.1_8B,3817,921,2,long_analysis,A100에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
87,A100-SXM4-80GB,LLaMA_3.1_8B,1750,466,2,medium_doc,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
88,T4,LLaMA_3.2_1B,695,661,2,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
89,T4,LLaMA_3.2_1B,2117,855,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
90,L4,LLaMA_3.1_8B,438,198,4,short_chat,L4에서 LLaMA_3.1_8B 모델로 short_chat 시나리오
91,A100-SXM4-80GB,LLaMA_3.1_8B,1414,343,2,medium_doc,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
92,T4,LLaMA_3.2_1B,415,155,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
93,L4,LLaMA_3.1_8B,3866,831,1,long_analysis,L4에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
94,A10G,LLaMA_3.1_8B,3797,854,1,long_analysis,A10G에서 LLaMA_3.1_8B 모델로 long_analysis 시나리오
95,L4,LLaMA_3.1_8B,1997,289,2,medium_doc,L4에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
96,A100,LLaMA_3_8B,361,187,1,short_chat,A100에서 LLaMA_3_8B 모델로 short_chat 시나리오
97,A10G,LLaMA_3_8B,255,746,1,code_gen,A10G에서 LLaMA_3_8B 모델로 code_gen 시나리오
98,A100-SXM4-80GB,LLaMA_3_70B,850,310,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
99,T4,LLaMA_3.2_1B,720,202,1,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
100,A100-SXM4-80GB,LLaMA_3.1_8B,1092,481,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
